S.No,Field of Interest,Company Hired,Top Skill,Experience Level
178,DevOps,GitHub,Kubernetes,Not Fresher
179,DevOps,Tata Consulting Engineers,GCP,Not Fresher
180,Data Analytics,Zscaler,PyTorch,Fresher
181,Web Development,Google,HTML/CSS,Not Fresher
182,Mobile Development,AWS,C,Not Fresher
183,Cloud Computing,Azure,Azure,Not Fresher
184,Embedded Systems,KPMG,Docker,Not Fresher
185,Game Development,OnePlus,Unity,Not Fresher
186,DevOps,GitHub,Docker,Fresher
187,Data Analytics,PwC,Tableau,Not Fresher
188,AI/ML,Accolite,Docker,Not Fresher
189,Web Development,Amazon,React,Not Fresher
190,DevOps,Talsmart,Kotlin,Fresher
191,Game Development,HSC,Power BI,Not Fresher
192,AI/ML,Yamaha,Docker,Not Fresher
193,Embedded Systems,Intel,Microcontrollers,Not Fresher
194,Data Analytics,Ubisoft,Unity,Not Fresher
195,Mobile Development,Mercer Mettl,RTOS,Not Fresher
196,Cybersecurity,Persistent,C,Not Fresher
197,Game Development,Ubisoft,Unity,Not Fresher
198,AI/ML,DeepMind,PyTorch,Fresher
199,AI/ML,Hyundai,Microcontrollers,Not Fresher
200,Web Development,Red Hat,React Native,Not Fresher
201,Web Development,Yamaha,Tableau,Not Fresher
202,Web Development,Microsoft,Flutter,Not Fresher
203,AI/ML,JSW,RTOS,Not Fresher
204,AI/ML,OpenAI,TensorFlow,Fresher
205,Data Analytics,GitHub,React,Not Fresher
206,Data Analytics,PwC,Power BI,Not Fresher
207,Game Development,Talsmart,Docker,Not Fresher
208,AI/ML,DeepMind,TensorFlow,Not Fresher
209,Web Development,Google,Angular,Fresher
210,DevOps,Yamaha,Ethical Hacking,Fresher
211,Mobile Development,Talsmart,Microcontrollers,Not Fresher
212,Data Analytics,PwC,Power BI,Fresher
213,Embedded Systems,Harness,React,Not Fresher
214,Web Development,Amazon,Angular,Not Fresher
215,Mobile Development,Apple,Flutter,Not Fresher
216,Data Analytics,EY,Power BI,Not Fresher
217,Data Analytics,Deloitte,SQL,Not Fresher
218,Web Development,NVIDIA,Scikit-learn,Not Fresher
219,Cloud Computing,SunLife,React,Not Fresher
220,Web Development,Maverick Quantum,RTOS,Fresher
221,Data Analytics,Deloitte,SQL,Fresher
222,Data Analytics,Deloitte,SQL,Not Fresher
223,AI/ML,Zscaler,CI/CD,Not Fresher
224,Cybersecurity,Marsh McLennan,Unity,Not Fresher
225,Data Analytics,EY,Power BI,Not Fresher
226,Cybersecurity,Electronic Arts,TensorFlow,Not Fresher
227,Cloud Computing,Google Cloud,AWS,Fresher
228,Cybersecurity,Hexaware,Network Security,Not Fresher
229,Mobile Development,Samsung,Kotlin,Not Fresher
230,Web Development,NI Systems,Azure,Fresher
231,AI/ML,DeepMind,TensorFlow,Not Fresher
232,Cloud Computing,Azure,GCP,Not Fresher
233,Mobile Development,Qualcomm,GCP,Fresher
234,DevOps,Atlassian,Docker,Not Fresher
235,Cloud Computing,KPMG,C,Fresher
236,DevOps,Mahindra Comviva,Microcontrollers,Fresher
237,Cybersecurity,Red Hat,Firewalls,Not Fresher
238,Embedded Systems,HSC,AWS,Not Fresher
239,Embedded Systems,Sabre,Flutter,Fresher
240,Game Development,Rockstar Games,Unity,Fresher
241,DevOps,Red Hat,Docker,Fresher
242,Cloud Computing,Batt:RE,Angular,Not Fresher
243,AI/ML,Sabre,C#,Not Fresher
244,Mobile Development,Celebal Technologies,CI/CD,Not Fresher
245,Mobile Development,Apple,Flutter,Not Fresher
246,Web Development,British Telecom,Angular,Not Fresher
247,Web Development,Amazon,Angular,Not Fresher
248,Game Development,Electronic Arts,C#,Not Fresher
249,Cloud Computing,AWS,Azure,Not Fresher
250,Embedded Systems,rtCamp,React Native,Not Fresher
251,AI/ML,ICICI Prudential,PyTorch,Not Fresher
252,Web Development,Google,Angular,Not Fresher
253,Web Development,Mahindra Comviva,Scikit-learn,Not Fresher
254,DevOps,Yamaha,Unreal Engine,Not Fresher
255,Web Development,Google,HTML/CSS,Not Fresher
256,Embedded Systems,Qualcomm,RTOS,Not Fresher
257,Cloud Computing,Azure,AWS,Not Fresher
258,Game Development,Seagate,Kubernetes,Fresher
259,Cloud Computing,Google Cloud,GCP,Not Fresher
260,Game Development,Rockstar Games,C#,Not Fresher
261,Cybersecurity,Samsung,PyTorch,Not Fresher
262,Web Development,Navikenz Inc,Ethical Hacking,Not Fresher
263,AI/ML,Harness,Tableau,Fresher
264,Mobile Development,OnePlus,React Native,Not Fresher
265,DevOps,Philips,AWS,Not Fresher
266,Data Analytics,EY,SQL,Not Fresher
267,Web Development,Microsoft,React,Fresher
268,AI/ML,TVS Motors,TensorFlow,Not Fresher
269,Mobile Development,Seagate,Power BI,Not Fresher
270,Mobile Development,Synopsys,Power BI,Not Fresher
271,AI/ML,NVIDIA,PyTorch,Not Fresher
272,Web Development,Cipla,Kubernetes,Not Fresher
273,Embedded Systems,Apple,TensorFlow,Not Fresher
274,Embedded Systems,GitHub,React,Not Fresher
275,Embedded Systems,Secure Meters,Kubernetes,Not Fresher
276,Cybersecurity,Palo Alto Networks,Ethical Hacking,Not Fresher
277,Cloud Computing,Watchguard,RTOS,Not Fresher
278,AI/ML,NVIDIA,PyTorch,Not Fresher
279,AI/ML,DeepMind,PyTorch,Not Fresher
280,AI/ML,Genpact,PyTorch,Fresher
281,DevOps,Red Hat,Docker,Not Fresher
282,Web Development,Google,React,Fresher
283,Web Development,Amazon,Angular,Not Fresher
284,Embedded Systems,Qualcomm,RTOS,Not Fresher
285,Cloud Computing,Deloitte,Angular,Not Fresher
286,Web Development,Nokia,Tableau,Not Fresher
287,Game Development,SAP Scholar,Docker,Not Fresher
288,Game Development,Ubisoft,Unreal Engine,Not Fresher
289,Cloud Computing,Micron Semiconductor,GCP,Not Fresher
290,Embedded Systems,Yamaha,TensorFlow,Not Fresher
291,AI/ML,NVIDIA,PyTorch,Not Fresher
292,Web Development,Philips,C,Not Fresher
293,Cloud Computing,Nokia,Tableau,Not Fresher
294,DevOps,Hyundai,Docker,Fresher
295,Web Development,Amazon,Angular,Not Fresher
296,DevOps,GitHub,Docker,Fresher
297,Cloud Computing,Hexaware,RTOS,Fresher
298,DevOps,Red Hat,Docker,Not Fresher
299,Mobile Development,Principal Global,Tableau,Fresher
300,Cybersecurity,Cisco,Ethical Hacking,Not Fresher
301,Embedded Systems,SunLife,SQL,Not Fresher
302,Data Analytics,Microsoft,TensorFlow,Not Fresher
303,DevOps,Samsung,React,Fresher
304,Embedded Systems,Intel,C,Not Fresher
305,AI/ML,Cisco,Power BI,Not Fresher
306,Data Analytics,Deloitte,SQL,Not Fresher
307,DevOps,Silicon Labs,RTOS,Not Fresher
308,Data Analytics,PwC,SQL,Fresher
309,Mobile Development,Apple,React Native,Not Fresher
310,Web Development,Amazon,React,Not Fresher
311,DevOps,rtCamp,Ethical Hacking,Not Fresher
312,Data Analytics,EY,SQL,Fresher
313,DevOps,Atlassian,CI/CD,Not Fresher
314,Cybersecurity,Palo Alto Networks,Ethical Hacking,Fresher
315,Cybersecurity,JSW,RTOS,Fresher
316,Data Analytics,PwC,Power BI,Fresher
317,AI/ML,OpenAI,TensorFlow,Not Fresher
318,Embedded Systems,British Telecom,RTOS,Not Fresher
319,DevOps,Red Hat,CI/CD,Fresher
320,Cloud Computing,Zscaler,CI/CD,Not Fresher
321,Embedded Systems,Accolite,React,Not Fresher
322,Game Development,Electronic Arts,Unreal Engine,Fresher
323,Embedded Systems,Intel,RTOS,Not Fresher
324,Game Development,Navikenz Inc,Unreal Engine,Not Fresher
325,AI/ML,OpenAI,TensorFlow,Fresher
326,Cloud Computing,Google Cloud,GCP,Not Fresher
327,Data Analytics,Deloitte,SQL,Not Fresher
328,Cloud Computing,Azure,GCP,Not Fresher
329,Embedded Systems,Accenture,C#,Not Fresher
330,DevOps,Red Hat,Docker,Not Fresher
331,Game Development,Palo Alto Networks,Tableau,Not Fresher
332,Cybersecurity,Scaler,Unity,Fresher
333,AI/ML,AWS,GCP,Not Fresher
334,Cloud Computing,Google Cloud,Azure,Not Fresher
335,Web Development,Domato Book Co.,C#,Not Fresher
336,Data Analytics,Atlassian,Ethical Hacking,Not Fresher
337,DevOps,Infosys,Flutter,Fresher
338,DevOps,Mahindra Comviva,SQL,Not Fresher
339,Embedded Systems,Cisco,Flutter,Not Fresher
340,Cybersecurity,Palo Alto Networks,Network Security,Not Fresher
341,Game Development,Tech Mahindra,Unity,Not Fresher
342,Game Development,Amazon,Unreal Engine,Fresher
343,Data Analytics,Hexaware,Ethical Hacking,Not Fresher
344,Data Analytics,PwC,Tableau,Not Fresher
345,Data Analytics,Yamaha,Docker,Not Fresher
346,Mobile Development,Batt:RE,Microcontrollers,Not Fresher
347,Game Development,Rockstar Games,C#,Not Fresher
348,Embedded Systems,Qualcomm,Microcontrollers,Not Fresher
349,Data Analytics,EY,Power BI,Not Fresher
350,Embedded Systems,JK Cement,CI/CD,Not Fresher
351,Game Development,Electronic Arts,Unreal Engine,Fresher
352,Cloud Computing,Principal Global,CI/CD,Not Fresher
353,Mobile Development,Samsung,Kotlin,Not Fresher
354,DevOps,Domato Book Co.,React Native,Not Fresher
355,Embedded Systems,Qualcomm,RTOS,Fresher
356,Embedded Systems,Texas Instruments,Microcontrollers,Not Fresher
357,AI/ML,Blackrock,Firewalls,Not Fresher
358,Embedded Systems,Samsung,React,Not Fresher
359,Data Analytics,Blackrock,C,Not Fresher
360,Game Development,Navikenz Inc,Angular,Fresher
361,Web Development,Hexaware,SQL,Not Fresher
362,Mobile Development,Samsung,Kotlin,Not Fresher
363,Game Development,Electronic Arts,Unity,Not Fresher
364,Data Analytics,Google Cloud,Firewalls,Fresher
365,Game Development,Ubisoft,C#,Not Fresher
366,Cloud Computing,SunLife,C#,Not Fresher
367,Cloud Computing,Blackrock,C#,Fresher
368,Web Development,ICICI Prudential,Kubernetes,Not Fresher
369,DevOps,Juniper Networks,SQL,Fresher
370,Mobile Development,Scaler,React Native,Fresher
371,AI/ML,OpenAI,Scikit-learn,Not Fresher
372,Mobile Development,Samsung,Kotlin,Not Fresher
373,Cybersecurity,Cisco,Ethical Hacking,Not Fresher
374,Embedded Systems,Intel,C,Not Fresher
375,Data Analytics,Deloitte,RTOS,Not Fresher
376,AI/ML,ICICI Prudential,Network Security,Not Fresher
377,DevOps,GitHub,CI/CD,Not Fresher
378,DevOps,Red Hat,Docker,Not Fresher
379,Mobile Development,Samsung,Kotlin,Fresher
380,Mobile Development,Hyundai,Docker,Not Fresher
381,DevOps,Atlassian,Docker,Not Fresher
382,Cybersecurity,Secure Meters,TensorFlow,Not Fresher
383,Cybersecurity,Cisco,Firewalls,Not Fresher
384,Game Development,JSW,CI/CD,Fresher
385,Data Analytics,PwC,Power BI,Fresher
386,Cloud Computing,Navikenz Inc,Network Security,Not Fresher
387,Web Development,Nokia,Firewalls,Not Fresher
388,Cybersecurity,Zscaler,Ethical Hacking,Not Fresher
389,DevOps,Sanguine Global,C#,Fresher
390,DevOps,GitHub,CI/CD,Not Fresher
391,Embedded Systems,Micron Semiconductor,React Native,Not Fresher
392,AI/ML,OpenAI,PyTorch,Not Fresher
393,Web Development,GitHub,AWS,Not Fresher
394,Game Development,Seagate,Microcontrollers,Not Fresher
395,Web Development,Watchguard,Unity,Not Fresher
396,Data Analytics,NI Systems,SQL,Not Fresher
397,Embedded Systems,Texas Instruments,C,Fresher
398,Embedded Systems,Tata Consulting Engineers,React,Not Fresher
399,Embedded Systems,Google Cloud,Network Security,Not Fresher
400,Game Development,Rockstar Games,Unreal Engine,Not Fresher
401,Mobile Development,Tata Consulting Engineers,Tableau,Not Fresher
402,DevOps,GitHub,CI/CD,Fresher
403,Game Development,Electronic Arts,Unity,Not Fresher
404,DevOps,Red Hat,CI/CD,Not Fresher
405,Mobile Development,Mahindra Comviva,AWS,Not Fresher
406,Mobile Development,Google Cloud,Microcontrollers,Not Fresher
407,Web Development,PwC,Network Security,Not Fresher
408,Embedded Systems,Texas Instruments,Flutter,Not Fresher
409,Mobile Development,Samsung,Kotlin,Not Fresher
410,Cloud Computing,Tech Mahindra,C,Fresher
411,Data Analytics,Intel,React,Fresher
412,Data Analytics,Accolite,Unreal Engine,Not Fresher
413,Cloud Computing,AWS,GCP,Fresher
414,Data Analytics,Accenture,Kotlin,Not Fresher
415,Mobile Development,Samsung,Flutter,Not Fresher
416,Cybersecurity,TVS Motors,Unreal Engine,Not Fresher
417,AI/ML,NVIDIA,Scikit-learn,Not Fresher
418,Data Analytics,Deloitte,Tableau,Not Fresher
419,AI/ML,Intel,CI/CD,Fresher
420,Web Development,Amazon,HTML/CSS,Not Fresher
421,Cloud Computing,Qualcomm,React,Not Fresher
422,AI/ML,AWS,C#,Not Fresher
423,DevOps,GitHub,CI/CD,Fresher
424,Mobile Development,Samsung,Kotlin,Not Fresher
425,Web Development,KPMG,Docker,Not Fresher
426,Web Development,Microsoft,Angular,Not Fresher
427,Cloud Computing,Google,React,Not Fresher
428,Cybersecurity,Hexaware,Azure,Not Fresher
429,Mobile Development,OnePlus,Kotlin,Fresher
430,Data Analytics,Deloitte,SQL,Fresher
431,Game Development,Electronic Arts,C#,Fresher
432,Game Development,Rockstar Games,Unity,Fresher
433,Game Development,Electronic Arts,Unreal Engine,Not Fresher
434,Mobile Development,Genpact,C#,Not Fresher
435,AI/ML,DeepMind,TensorFlow,Fresher
436,Data Analytics,Deloitte,Power BI,Fresher
437,Embedded Systems,Secure Meters,HTML/CSS,Fresher
438,Cloud Computing,AWS,Azure,Not Fresher
439,Game Development,Tech Mahindra,RTOS,Fresher
440,Game Development,Rockstar Games,Unity,Fresher
441,Mobile Development,OnePlus,React Native,Not Fresher
442,Data Analytics,JP Morgan,TensorFlow,Not Fresher
443,Web Development,Palo Alto Networks,React,Fresher
444,Data Analytics,Cipla,AWS,Not Fresher
445,Game Development,Marsh McLennan,Scikit-learn,Fresher
446,Mobile Development,Apple,Flutter,Not Fresher
447,Game Development,Electronic Arts,Unreal Engine,Not Fresher
448,Web Development,Statcon Electronics,Unity,Not Fresher
449,DevOps,Seagate,Kubernetes,Fresher
450,Mobile Development,Apple,React Native,Not Fresher
451,Game Development,EVAge Motors,Microcontrollers,Not Fresher
452,DevOps,SAP Lab,Scikit-learn,Not Fresher
453,Data Analytics,SAP Lab,Network Security,Fresher
454,Game Development,Ubisoft,Unreal Engine,Not Fresher
455,Web Development,Sabre,Tableau,Not Fresher
456,DevOps,Red Hat,Docker,Not Fresher
457,Cloud Computing,AWS,AWS,Not Fresher
458,Cybersecurity,TVS Motors,AWS,Not Fresher
459,Data Analytics,Cimpress,Azure,Not Fresher
460,DevOps,Atlassian,CI/CD,Not Fresher
461,Cybersecurity,Principal Global,React Native,Not Fresher
462,Embedded Systems,Watchguard,Docker,Not Fresher
463,AI/ML,Hyundai,Docker,Not Fresher
464,Data Analytics,Deloitte,Tableau,Fresher
465,Cloud Computing,Azure,Azure,Fresher
466,Cloud Computing,Arvind Fashion,CI/CD,Not Fresher
467,Cybersecurity,TCS,Ethical Hacking,Fresher
468,Web Development,Microsoft,React,Not Fresher
469,DevOps,SAP Lab,CI/CD,Not Fresher
470,AI/ML,Rockstar Games,AWS,Fresher
471,Embedded Systems,Marsh McLennan,CI/CD,Not Fresher
472,Mobile Development,Samsung,Flutter,Fresher
473,Embedded Systems,Secure Meters,Flutter,Fresher
474,Cloud Computing,Azure,Azure,Fresher
475,AI/ML,Palo Alto Networks,C,Not Fresher
476,Game Development,Synopsys,React,Fresher
477,Cybersecurity,Zscaler,Firewalls,Not Fresher
478,DevOps,Red Hat,Kubernetes,Fresher
479,DevOps,Atlassian,Kubernetes,Fresher
480,Cybersecurity,Bosch Ltd.,Kubernetes,Fresher
481,Mobile Development,HashedIn,Network Security,Not Fresher
482,DevOps,Azure,Flutter,Not Fresher
483,Mobile Development,Texas Instruments,SQL,Not Fresher
484,Embedded Systems,KPMG,CI/CD,Fresher
485,AI/ML,Cipla,C,Fresher
486,Web Development,Amazon,React,Not Fresher
487,Cybersecurity,Cisco,Firewalls,Not Fresher
488,Cybersecurity,Zscaler,Network Security,Not Fresher
489,Game Development,HSC,Angular,Not Fresher
490,Cloud Computing,Azure,AWS,Not Fresher
491,DevOps,GitHub,Kubernetes,Not Fresher
492,Data Analytics,PwC,Tableau,Fresher
493,Embedded Systems,Qualcomm,C,Not Fresher
494,Game Development,NVIDIA,Firewalls,Not Fresher
495,Web Development,Amazon,HTML/CSS,Not Fresher
496,AI/ML,DeepMind,Scikit-learn,Not Fresher
497,Embedded Systems,Texas Instruments,C,Not Fresher
498,Data Analytics,EY,Tableau,Not Fresher
499,Mobile Development,Samsung,React Native,Not Fresher
500,Web Development,Microsoft,React,Not Fresher
501,DevOps,Marsh McLennan,Scikit-learn,Fresher
502,Mobile Development,OnePlus,Flutter,Not Fresher
503,Cloud Computing,AWS,Azure,Fresher
504,Game Development,TCS,Microcontrollers,Not Fresher
505,Web Development,Microsoft,Angular,Not Fresher
506,Mobile Development,Apple,React Native,Not Fresher
507,Game Development,Bosch Ltd.,Kotlin,Fresher
508,DevOps,Atlassian,Kubernetes,Not Fresher
509,Cybersecurity,Zscaler,Firewalls,Fresher
510,Data Analytics,EY,SQL,Not Fresher
511,Game Development,Rockstar Games,Unity,Not Fresher
512,Cloud Computing,AWS,Angular,Fresher
513,Embedded Systems,Intel,Microcontrollers,Not Fresher
514,Mobile Development,Microsoft,Flutter,Fresher
515,Embedded Systems,JP Morgan,Firewalls,Not Fresher
516,Cybersecurity,EY,C,Fresher
517,Mobile Development,OnePlus,React Native,Not Fresher
518,Web Development,Amazon,React,Fresher
519,Cybersecurity,Hyundai,Network Security,Not Fresher
520,Game Development,Microsoft,Kotlin,Not Fresher
521,Cybersecurity,AWS,Docker,Fresher
522,DevOps,Red Hat,Kubernetes,Fresher
523,DevOps,Atlassian,CI/CD,Not Fresher
524,DevOps,DeepMind,Unity,Not Fresher
525,AI/ML,Microsoft,CI/CD,Not Fresher
526,Embedded Systems,Rockstar Games,React Native,Not Fresher
527,Embedded Systems,Qualcomm,Microcontrollers,Fresher
528,AI/ML,Micron Semiconductor,Angular,Fresher
529,AI/ML,OpenAI,PyTorch,Not Fresher
530,Game Development,Google Cloud,React Native,Fresher
531,AI/ML,DeepMind,Scikit-learn,Not Fresher
